source_ID,source_value,month,year,lat,long,elev
LK2-M23-SF-1,-23.78248721,5,2023,45.6369889,-78.356925,
LK5-A23-MF-8,-27.96451655,8,2023,45.6389722,-78.3638278,
LK5-M23-MF-2,-27.08048006,5,2023,45.6389722,-78.3638278,
LK7-A23-MF-10,-25.51758665,8,2023,45.6389722,-78.3638278,
LK7-A23-MF-9,-25.71127851,8,2023,45.6389722,-78.3638278,
LK7-M23-MF-1,-25.60812755,5,2023,45.6389722,-78.3638278,
LK7-M23-MF-2,-26.39099572,5,2023,45.6389722,-78.3638278,
LK7-M23-MF-3,-26.75607534,5,2023,45.6389722,-78.3638278,
LK7-M23-MF-7,-27.85022312,5,2023,45.6389722,-78.3638278,
21-OP-inflow (N) - MAY,-23.24,8,2021,45.6975176,-78.42799736,
21-OP-47-MAY,-20.03,8,2021,45.66943227,-78.35658008,
21-OP-51-MAY,-13.21,8,2021,45.73590065,-78.3378004,
21-OP-44-MAY-1,-19.89,8,2021,45.66479794,-78.38202406,
21-OP-44-MAY-2,-21.62,8,2021,45.66479794,-78.38202406,
21-OP-46-MAY,-21,8,2021,45.70575834,-78.34059435,
21-OP-49-MAY,-26.09,8,2021,45.63672727,-78.35563012,
A22-OP-44-0.5-mf,-21.63,8,2022,45.66479794,-78.38202406,
A22-OP-44-1-mf,-22.58,8,2022,45.66479794,-78.38202406,
A22-OP-48-1-mf,-26.45,8,2022,45.6975176,-78.42799736,
A22-OP-48-2-mf,-27.21,8,2022,45.6975176,-78.42799736,
A22-OP-48-3-mf,-29.37,8,2022,45.6975176,-78.42799736,
A22-OP-49-0.5-mf,-27.08,8,2022,45.63672727,-78.35563012,
A22-OP-49-1-mf,-28.28,8,2022,45.63672727,-78.35563012,
A22-OP-49-2-mf,-29.63,8,2022,45.63672727,-78.35563012,
A22-OP-51-0.5-mf,-22.36,8,2022,45.73590065,-78.3378004,
A22-OP-51-1-mf,-23.35,8,2022,45.73590065,-78.3378004,
A22-OP-51-2-mf,-25.43,8,2022,45.73590065,-78.3378004,
A22-OP-51-4-mf,-25.52,8,2022,45.73590065,-78.3378004,
A22-OP-47-0.5-mf,-22.93,8,2022,45.66943227,-78.35658008,
M22-OP-51-mf,-22.32,5,2022,45.73590065,-78.3378004,
M22-OP-44-mf-2,-25.62,5,2022,45.66479794,-78.38202406,
M22-OP-44-mf-1,-25.5,5,2022,45.66479794,-78.38202406,
M22-OP-46-mf-1,-26.84,5,2022,45.70575834,-78.34059435,
M22-OP-46-mf-2,-25.73,5,2022,45.70575834,-78.34059435,
M22-OP-46-mf-3,-24.2,5,2022,45.70575834,-78.34059435,
M22-OP-47-mf-1,-28.17,5,2022,45.66943227,-78.35658008,
M22-OP-48-mf-1,-25.51,5,2022,45.6975176,-78.42799736,
M22-OP-48-mf-2,-28.47,5,2022,45.6975176,-78.42799736,
M22-OP-49-mf-2,-32.06,5,2022,45.63672727,-78.35563012,
M22-OP-49-mf-1,-31.78,5,2022,45.63672727,-78.35563012,
M22-OP-47-mf-2,-28.5,5,2022,45.66943227,-78.35658008,
