location,site,species,id,number,fl,tl,wt,month,season,year
lake,OP6-22-03,bluntnose minnow,,1,69,74,2,may,spring,2022
lake,OP6-22-04,bluntnose minnow,,1,84,92,10,may,spring,2022
lake,OP6-22-05,bluntnose minnow,,1,92,96,8,may,spring,2022
lake,OP6-22-07,bluntnose minnow,,1,72,77,5,may,spring,2022
lake,OP6-22-08,bluntnose minnow,,1,81,86,5,may,spring,2022
lake,OP6-22-09,bluntnose minnow,,1,65,70.5,3,may,spring,2022
lake,OP6-22-12,bluntnose minnow,,1,71,74,3,may,spring,2022
lake,OP6-22-13,bluntnose minnow,,1,65,75,4,may,spring,2022
lake,OP6-22-145,bluntnose minnow,,1,80,85,5,may,spring,2022
lake,OP6-22-145,bluntnose minnow,,1,69,75,2,may,spring,2022
lake,OP6-22-145,bluntnose minnow,,1,85,92,5,may,spring,2022
lake,OP7,bluntnose minnow,,1,93,100,7.5,october,fall,2022
lake,OP8,bluntnose minnow,,1,91,98,7.2,october,fall,2022
lake,OP9,bluntnose minnow,,1,89,95,6.9,october,fall,2022
lake,OP9-22-272,bluntnose minnow,,1,67,,3,may,spring,2022
lake,OP9-22-273,bluntnose minnow,,1,88,,8,may,spring,2022
lake,OP9-22-274,bluntnose minnow,,1,83,,6,may,spring,2022
lake,OP9-22-277,bluntnose minnow,,19,91,,135,may,spring,2022
lake,OP9-22-335,bluntnose minnow,,1,84,90,8,may,spring,2022
lake,OP9-22-338,bluntnose minnow,,1,90,95,7,may,spring,2022
lake,OP9-22-339,bluntnose minnow,,1,92,101,9,may,spring,2022
lake,OP9-22-340,bluntnose minnow,,1,56,61,<1,may,spring,2022
lake,OP9-22-341,bluntnose minnow,,10,82,89,71,may,spring,2022
creek,upstream,bluntnose minnow,,,59,63,2.5,april,spring,2024
creek,upstream,bluntnose minnow,,1,59,63,2.5,april,spring,2024
creek,upstream,bluntnose minnow,FN-A23-BNM-5,1,50,55,1.4,august,summer,2023
creek,upstream,bluntnose minnow,FN-A23-BNM-2,1,65,71,2,august,summer,2023
creek,upstream,bluntnose minnow,FN-A23-BNM-1,1,60,66,1.2,august,summer,2023
creek,upstream,bluntnose minnow,FN-A23-BNM-3,1,67,74,2.5,august,summer,2023
creek,upstream,bluntnose minnow,FN-A23-BNM-4,1,65,72,1.9,august,summer,2023
creek,upstream,bluntnose minnow,,1,63,71,2.1,may,spring,2023
lake,LK1,bluntnose minnow,LK1-M23-BNM -5,1,81,93,4.8,may,spring,2023
lake,LK1,bluntnose minnow,LK1-M23-BNM -6,1,85,91,4.1,may,spring,2023
lake,LK10,bluntnose minnow,LK10-M23-BNM -7,1,73,78,2.8,may,spring,2023
lake,LK10,bluntnose minnow,,1,75,81,2.7,may,spring,2023
lake,LK10,bluntnose minnow,,1,95,102,8.5,may,spring,2023
lake,LK6,bluntnose minnow,LK6-O23-BNM-3,1,88,95,8.2,october,fall,2023
lake,LK6,bluntnose minnow,LK6-O23-BNM-3,1,85,92,6.6,october,fall,2023
lake,LK6,bluntnose minnow,,1,87,94,5.5,october,fall,2023
lake,LK6,bluntnose minnow,,1,67,74,2.7,october,fall,2023
lake,LK7,bluntnose minnow,LK7-M23-BNM -2,1,76,79,3.4,may,spring,2023
lake,LK7,bluntnose minnow,LK7-M23-BNM -3,1,89,96,6.9,may,spring,2023
lake,LK7,bluntnose minnow,LK7-M23-BNM -4,1,87,92,5.6,may,spring,2023
lake,LK7,bluntnose minnow,,1,93,103,6.9,may,spring,2023
lake,LK7,bluntnose minnow,,1,93,99,9.3,may,spring,2023
lake,LK7,bluntnose minnow,,1,88,94,6.1,may,spring,2023
lake,LK7,bluntnose minnow,,1,85,92,5.1,may,spring,2023
lake,LK7,bluntnose minnow,,1,87,95,6.3,may,spring,2023
lake,LK7,bluntnose minnow,,1,86,92,5.5,may,spring,2023
lake,LK8,bluntnose minnow,Lk8-M23-BNM -08,1,65,70,2.9,may,spring,2023
lake,LK8,bluntnose minnow,Lk8-M23-BNM -09,1,85,92,7.8,may,spring,2023
lake,LK8,bluntnose minnow,Lk8-M23-BNM -10,1,89,96,6.4,may,spring,2023
lake,LK8,bluntnose minnow,Lk8-M23-BNM -11,1,94,100,11,may,spring,2023
lake,LK8,bluntnose minnow,Lk8-M23-BNM -12,1,89,95,7.1,may,spring,2023
lake,LK8,bluntnose minnow,,1,100,105,8.9,may,spring,2023
lake,LK8,bluntnose minnow,,1,93,100,9.7,may,spring,2023
lake,LK8,bluntnose minnow,,1,78,84,4.2,may,spring,2023
lake,LK9,bluntnose minnow,LK9-M23-BNM -1,1,61,66,2.2,may,spring,2023
lake,LK9,bluntnose minnow,LK9-O23-BNM-1,1,88,95,8.6,october,fall,2023
lake,LK9,bluntnose minnow,LK9-O23-BNM-2,1,87,92,7.2,october,fall,2023
lake,LK9,bluntnose minnow,,1,86,94,8.5,october,fall,2023
lake,LK1,bluntnose minnow,,1,81,93,4.8,may,spring,2023
lake,LK1,bluntnose minnow,,1,85,91,4.1,may,spring,2023
lake,LK10,bluntnose minnow,,1,73,78,2.8,may,spring,2023
lake,LK10,bluntnose minnow,,1,75,81,2.7,may,spring,2023
lake,LK10,bluntnose minnow,,1,95,102,8.5,may,spring,2023
lake,Lk7,bluntnose minnow,,1,76,79,3.4,may,spring,2023
lake,Lk7,bluntnose minnow,,1,89,96,6.9,may,spring,2023
lake,Lk7,bluntnose minnow,,1,87,92,5.6,may,spring,2023
lake,Lk7,bluntnose minnow,,1,93,103,6.9,may,spring,2023
lake,Lk7,bluntnose minnow,,1,93,99,9.3,may,spring,2023
lake,Lk7,bluntnose minnow,,1,88,94,6.1,may,spring,2023
lake,Lk7,bluntnose minnow,,1,85,92,5.1,may,spring,2023
lake,Lk7,bluntnose minnow,,1,87,95,6.3,may,spring,2023
lake,Lk7,bluntnose minnow,,1,86,92,5.5,may,spring,2023
lake,LK8,bluntnose minnow,,1,65,70,2.9,may,spring,2023
lake,LK8,bluntnose minnow,,1,85,92,7.8,may,spring,2023
lake,LK8,bluntnose minnow,,1,89,96,6.4,may,spring,2023
lake,LK8,bluntnose minnow,,1,94,100,11,may,spring,2023
lake,LK8,bluntnose minnow,,1,89,95,7.1,may,spring,2023
lake,LK8,bluntnose minnow,,1,100,105,8.9,may,spring,2023
lake,LK8,bluntnose minnow,,1,93,100,9.7,may,spring,2023
lake,LK8,bluntnose minnow,,1,78,84,4.2,may,spring,2023
lake,LK9,bluntnose minnow,,1,61,66,2.2,may,spring,2023
creek,CR10,brassy minnow,,1,60,67,1.7,august,summer,2023
creek,downstream,brassy minnow,,1,77,83,4.1,april,spring,2024
creek,downstream,brassy minnow,,1,82,89,6.1,may,spring,2023
creek,downstream,brassy minnow,,1,70,76,5.1,may,spring,2023
creek,downstream,brassy minnow,,1,75,82,4.8,may,spring,2023
creek,downstream,brassy minnow,,1,65,70,3.1,may,spring,2023
creek,downstream,brassy minnow,,1,75,82,5.6,october,fall,2024
creek,upstream,brassy minnow,,1,73,77,4.9,april,spring,2024
creek,upstream,brassy minnow,,1,66,71,2.6,august,summer,2023
creek,upstream,brassy minnow,,1,75,80,3.1,may,spring,2023
creek,upstream,brassy minnow,CR5-M23-BM-1,1,74,79,4.3,may,spring,2023
creek,upstream,brassy minnow,CR5-M23-BM-2,1,66,71,2.7,may,spring,2023
creek,upstream,brassy minnow,CR5-M23-BM-3,1,81,88,6.2,may,spring,2023
lake,LK10,brook stickleback,,1,,51,1.4,may,spring,2023
creek,CR7,brook stickleback,,1,,57,0.9,may,spring,2023
creek,CR7,brook stickleback,,1,,57,0.9,may,spring,2023
lake,LK10,brook stickleback,,1,,51,1.4,may,spring,2023
creek,CC,brook trout,,1,79,84,4.6,october,fall,2022
creek,CC,brook trout,,1,72,77,3.3,october,fall,2022
creek,CC18-22-435,brook trout,,1,NA,153,39.5,may,spring,2022
creek,CC18-22-436,brook trout,,1,NA,132,22,may,spring,2022
creek,CC18-22-437,brook trout,,1,NA,118,15.5,may,spring,2022
creek,CC19-22-361,brook trout,,1,79,97,9,may,spring,2022
creek,CC19-22-366,brook trout,,1,93,95,5,may,spring,2022
creek,CC19-22-367,brook trout,,1,118,125,14,may,spring,2022
creek,CC19-22-369,brook trout,,1,115,120,10,may,spring,2022
creek,CR10,brook trout,,1,135,143,28.6,may,spring,2023
creek,CR10,brook trout,,1,157,163,44.8,may,spring,2023
creek,CR10,brook trout,CR10-M23-BT-1,1,114,118,16.5,may,spring,2023
creek,CR10,brook trout,,1,118,123,16.8,may,spring,2023
creek,CR10,brook trout,,1,165,173,52,may,spring,2023
creek,CR10,brook trout,,1,145,151,29,may,spring,2023
creek,CR10,brook trout,,1,126,130,20,may,spring,2023
creek,CR7,brook trout,,1,148,157,31.5,august,summer,2023
creek,CR7,brook trout,,1,132,142,20,october,fall,2023
creek,CR7,brook trout,,1,75,79,2.6,october,fall,2023
creek,CR8,brook trout,,1,175,186,52.3,october,fall,2023
creek,CR8,brook trout,,1,155,164,33.6,october,fall,2023
creek,CR8,brook trout,,1,126,133,17.9,october,fall,2023
creek,CR9,brook trout,,1,187,203,87.4,may,spring,2023
creek,CR9,brook trout,,1,187,203,87.4,may,spring,2023
creek,Culvert ,brook trout,,1,,174,42.2,august,summer,2022
creek,Culvert ,brook trout,,1,,148,27.1,august,summer,2022
creek,Culvert ,brook trout,,1,,112,12.2,august,summer,2022
creek,downstream,brook trout,,1,111,117,12.3,april,spring,2024
creek,downstream,brook trout,,1,160,166,,april,spring,2024
creek,downstream,brook trout,,1,132,138,22.9,april,spring,2024
creek,downstream,brook trout,,1,171,181,48.9,april,spring,2024
creek,downstream,brook trout,,1,221,230,105.3,april,spring,2024
creek,downstream,brook trout,,1,192,203,70.6,april,spring,2024
creek,downstream,brook trout,,1,69,72,4.7,april,spring,2024
creek,downstream,brook trout,,1,64,67,2.6,august,summer,2024
creek,downstream,brook trout,,1,72,76,3.2,august,summer,2024
creek,downstream,brook trout,,1,68,71,3.5,august,summer,2023
creek,downstream,brook trout,,1,233,245,145.5,august,summer,2023
creek,downstream,brook trout,,1,140,147,22.6,may,spring,2023
creek,downstream,brook trout,,1,118,122,18.6,may,spring,2023
creek,downstream,brook trout,,1,94,97,8.1,may,spring,2023
creek,downstream,brook trout,,1,124,130,17,may,spring,2023
creek,downstream,brook trout,,1,120,126,19.7,may,spring,2023
creek,downstream,brook trout,,1,111,115,6.3,may,spring,2023
creek,downstream,brook trout,,1,128,136,19.5,may,spring,2023
creek,downstream,brook trout,,1,106,112,13.9,may,spring,2023
creek,downstream,brook trout,,1,130,136,24.8,may,spring,2023
creek,downstream,brook trout,,1,102,109,,may,spring,2023
creek,downstream,brook trout,,1,118,125,15.5,may,spring,2023
creek,downstream,brook trout,,1,118,123,15.3,may,spring,2023
creek,downstream,brook trout,,1,122,129,18.3,may,spring,2023
creek,downstream,brook trout,,1,120,125,15,may,spring,2023
creek,downstream,brook trout,,1,173,181,55.7,may,spring,2023
creek,downstream,brook trout,,1,129,134,23.1,may,spring,2023
creek,downstream,brook trout,,1,120,126,17.4,may,spring,2023
creek,downstream,brook trout,,1,122,129,20,may,spring,2023
creek,downstream,brook trout,,1,130,135,21,may,spring,2023
creek,downstream,brook trout,,1,120,126,13.7,may,spring,2023
creek,downstream,brook trout,,1,120,126,15.1,may,spring,2023
creek,downstream,brook trout,CR5-M23-BT-2,1,169,177,47.7,may,spring,2023
creek,downstream,brook trout,,1,NA,NA,25.2,may,spring,2023
creek,downstream,brook trout,,,NA,NA,21,may,spring,2023
creek,downstream,brook trout,,,NA,NA,50.9,may,spring,2023
creek,downstream,brook trout,,1,150,158,32.2,october,fall,2024
creek,downstream,brook trout,,1,121,127,17.2,october,fall,2024
creek,downstream,brook trout,,1,118,124,14.2,october,fall,2024
creek,downstream,brook trout,,1,195,206,65.6,october,fall,2024
creek,downstream,brook trout,,1,165,175,41,october,fall,2024
creek,downstream,brook trout,,1,114,120,15.4,october,fall,2024
creek,downstream,brook trout,,1,77,81,3.5,october,fall,2023
creek,downstream,brook trout,,1,75,79,4.7,october,fall,2023
creek,downstream,brook trout,,1,136,144,20.8,october,fall,2023
creek,downstream,brook trout,,1,79,83,3.8,october,fall,2023
creek,downstream,brook trout,,1,115,123,12.6,october,fall,2023
creek,downstream,brook trout,,1,70,73,2.8,october,fall,2023
creek,downstream,brook trout,,1,135,143,19.2,october,fall,2023
creek,upstream,brook trout,,1,,,79,april,spring,2024
creek,upstream,brook trout,,1,,247,148.6,april,spring,2024
creek,upstream,brook trout,,1,270,287,,april,spring,2024
creek,upstream,brook trout,,1,223,235,120.2,april,spring,2024
creek,upstream,brook trout,,1,177,185,58.8,april,spring,2024
creek,upstream,brook trout,,1,250,260,173.2,april,spring,2024
creek,upstream,brook trout,,1,117,122,15.1,april,spring,2024
creek,upstream,brook trout,,1,173,182,53.9,may,spring,2023
creek,upstream,brook trout,,1,193,204,67.1,may,spring,2023
creek,upstream,brook trout,,1,126,132,21,may,spring,2023
creek,upstream,brook trout,,1,170,181,53.5,may,spring,2023
creek,upstream,brook trout,,1,130,137,23.3,may,spring,2023
creek,upstream,brook trout,,1,132,140,26.8,may,spring,2023
creek,upstream,brook trout,,1,122,127,12.2,may,spring,2023
creek,upstream,brook trout,,1,138,144,26.3,may,spring,2023
creek,upstream,brook trout,,1,115,120,14.2,may,spring,2023
creek,upstream,brook trout,,1,104,110,12.9,may,spring,2023
creek,upstream,brook trout,,1,87,91,6.4,may,spring,2023
creek,upstream,brook trout,,1,131,138,24.8,may,spring,2023
creek,upstream,brook trout,,1,215,221,94.9,may,spring,2023
creek,upstream,brook trout,,1,127,132,18.2,may,spring,2023
creek,upstream,brook trout,,1,151,160,36.6,may,spring,2023
creek,upstream,brook trout,,1,120,126,17.2,may,spring,2023
creek,upstream,brook trout,,1,150,160,35.5,may,spring,2023
creek,upstream,brook trout,,1,128,133,22.4,may,spring,2023
creek,upstream,brook trout,,1,110,116,13,may,spring,2023
creek,upstream,brook trout,,1,112,117,11.4,may,spring,2023
creek,upstream,brook trout,,1,117,124,18.1,may,spring,2023
creek,upstream,brook trout,,,NA,NA,230.9,may,spring,2023
creek,upstream,brook trout,,1,NA,NA,30.1,may,spring,2023
creek,upstream,brook trout,,1,NA,NA,19.7,may,spring,2023
creek,upstream,brook trout,,1,NA,NA,19.5,may,spring,2023
creek,upstream,brook trout,,1,NA,NA,21.8,may,spring,2023
creek,upstream,brook trout,,1,NA,NA,65.8,may,spring,2023
creek,upstream,brook trout,,1,120,125,16.3,may,spring,2023
creek,upstream,brook trout,,1,NA,NA,4.8,may,spring,2023
creek,upstream,brook trout,,1,135,143,28.2,october,fall,2023
creek,upstream,brook trout,,1,77,81,3.9,october,fall,2023
creek,upstream,brook trout,,1,77,81,3.5,october,fall,2023
creek,upstream,brook trout,,1,174,185,40,october,fall,2023
creek,CR10,brook trout,,1,135,143,28.6,may,spring,2023
creek,CR10,brook trout,,1,157,163,44.8,may,spring,2023
creek,CR10,brook trout,,1,114,118,16.5,may,spring,2023
creek,CR10,brook trout,,1,118,123,16.8,may,spring,2023
creek,CR10,brook trout,,1,165,173,52,may,spring,2023
creek,CR10,brook trout,,1,145,151,29,may,spring,2023
creek,CR10,brook trout,,1,126,130,20,may,spring,2023
creek,CR1,brown bullhead,,1,,85,78.7,august,summer,2023
creek,CR1,brown bullhead,,1,,180,77.7,august,summer,2023
creek,CR1,brown bullhead,,1,,190,103.7,august,summer,2023
creek,CR1,brown bullhead,,1,,195,98.6,august,summer,2023
creek,CR1,brown bullhead,,1,,160,50.7,august,summer,2023
creek,CR1,brown bullhead,,1,,188,186.8,august,summer,2023
creek,CR1,brown bullhead,,1,,190,91.6,august,summer,2023
creek,CR1,brown bullhead,,1,,164,55.2,august,summer,2023
creek,CR1,brown bullhead,,1,,171,58.4,august,summer,2023
creek,CR1,brown bullhead,,11,,,,may,spring,2023
creek,CR1,brown bullhead,,1,96,107,9.9,october,fall,2023
creek,CR2,brown bullhead,,31,,,,august,summer,2023
creek,CR2,brown bullhead,,13,,,,may,spring,2023
creek,CR2,brown bullhead,,68,,,,october,fall,2023
creek,CR3,brown bullhead,,38,,,,august,summer,2023
creek,CR3,brown bullhead,,15,,,,may,spring,2023
creek,CR3,brown bullhead,,67,,,,october,fall,2023
creek,CR4,brown bullhead,,1,,186,94.2,august,summer,2023
creek,CR4,brown bullhead,,1,,168,60.6,august,summer,2023
creek,CR4,brown bullhead,,1,,155,51.2,august,summer,2023
creek,CR4,brown bullhead,,1,,145,28.7,august,summer,2023
creek,CR4,brown bullhead,,1,,135,35.3,august,summer,2023
creek,CR4,brown bullhead,,1,,155,47.9,august,summer,2023
creek,CR4,brown bullhead,,1,,,45.8,august,summer,2023
creek,CR4,brown bullhead,,1,,168,60,august,summer,2023
creek,CR4,brown bullhead,,1,,170,53,august,summer,2023
creek,CR4,brown bullhead,,3,,185,180.6,august,summer,2023
creek,CR4,brown bullhead,,3,,115,42.3,august,summer,2023
creek,CR4,brown bullhead,,1,,150,40.8,august,summer,2023
creek,CR4,brown bullhead,,4,,,,may,spring,2023
creek,CR4,brown bullhead,,57,,,,october,fall,2023
creek,CR5,brown bullhead,,6,,,,may,spring,2023
creek,CR5,brown bullhead,,1,,150,38.5,october,fall,2023
creek,CR5,brown bullhead,,1,,138,31.5,october,fall,2023
creek,CR5,brown bullhead,,1,,142,33.4,october,fall,2023
creek,CR6,brown bullhead,,1,,185,75.3,august,summer,2023
creek,CR6,brown bullhead,,1,,159,49.3,august,summer,2023
creek,CR6,brown bullhead,,1,,185,65.6,august,summer,2023
creek,CR6,brown bullhead,,1,,172,67.2,august,summer,2023
creek,CR6,brown bullhead,,1,,171,53.9,august,summer,2023
creek,CR7,brown bullhead,,1,,162,48.4,may,spring,2023
creek,CR7,brown bullhead,,1,,180,71.5,may,spring,2023
creek,CR7,brown bullhead,,1,,162,45.1,may,spring,2023
creek,CR7,brown bullhead,,1,,145,33.2,may,spring,2023
creek,CR7,brown bullhead,,1,,143,33.1,may,spring,2023
creek,CR7,brown bullhead,,1,,115,15.9,may,spring,2023
creek,downstream,brown bullhead,,2,,,,april,spring,2024
creek,downstream,brown bullhead,,2,,,,april,spring,2024
creek,downstream,brown bullhead,,,,150,46.4,august,summer,2024
creek,downstream,brown bullhead,,1,,159,47.7,august,summer,2024
creek,downstream,brown bullhead,,1,,150,42.1,august,summer,2024
creek,downstream,brown bullhead,,1,,168,64.1,august,summer,2024
creek,downstream,brown bullhead,,1,,132,28.5,august,summer,2024
creek,downstream,brown bullhead,,1,,140,30.5,august,summer,2024
creek,downstream,brown bullhead,,1,,181,74.9,august,summer,2024
creek,downstream,brown bullhead,,1,NA,NA,,august,summer,2023
creek,downstream,brown bullhead,,1,NA,220,120.6,august,summer,2023
creek,downstream,brown bullhead,,1,NA,96,8.5,august,summer,2023
creek,downstream,brown bullhead,,1,NA,114,15.8,august,summer,2023
creek,downstream,brown bullhead,,1,NA,168,60.8,august,summer,2023
creek,downstream,brown bullhead,,1,NA,157,44.7,august,summer,2023
creek,downstream,brown bullhead,,1,NA,185,66.6,august,summer,2023
creek,downstream,brown bullhead,,1,NA,185,75.9,august,summer,2023
creek,downstream,brown bullhead,,1,NA,167,55.1,august,summer,2023
creek,downstream,brown bullhead,,1,NA,139,33.9,august,summer,2023
creek,downstream,brown bullhead,,1,NA,130,26.8,august,summer,2023
creek,downstream,brown bullhead,,1,NA,160,48.9,august,summer,2023
creek,downstream,brown bullhead,,1,NA,100,11.9,august,summer,2023
creek,downstream,brown bullhead,,1,NA,160,13.6,august,summer,2023
creek,downstream,brown bullhead,,1,NA,100,11.8,august,summer,2023
creek,downstream,brown bullhead,,1,NA,90,6.1,august,summer,2023
creek,downstream,brown bullhead,,1,NA,97,11.1,august,summer,2023
creek,downstream,brown bullhead,,1,NA,80,6.8,august,summer,2023
creek,downstream,brown bullhead,,1,NA,81,4.8,august,summer,2023
creek,downstream,brown bullhead,,1,NA,230,144,august,summer,2023
creek,downstream,brown bullhead,,1,NA,121,22.1,august,summer,2023
creek,downstream,brown bullhead,,1,NA,219,129.5,august,summer,2023
creek,downstream,brown bullhead,,1,NA,135,23.5,august,summer,2023
creek,downstream,brown bullhead,,1,NA,102,13.9,august,summer,2023
creek,downstream,brown bullhead,,1,NA,193,11.1,august,summer,2023
creek,downstream,brown bullhead,,1,NA,157,31.7,august,summer,2023
creek,downstream,brown bullhead,,1,NA,122,22.3,august,summer,2023
creek,downstream,brown bullhead,,1,NA,156,46.6,august,summer,2023
creek,downstream,brown bullhead,,3,,,,may,spring,2023
creek,downstream,brown bullhead,,5,,,,may,spring,2023
creek,downstream,brown bullhead,,5,,,,may,spring,2023
creek,downstream,brown bullhead,,1,NA,103,8.2,may,spring,2023
creek,downstream,brown bullhead,,1,NA,165,49.6,may,spring,2023
creek,downstream,brown bullhead,,2,NA,90,23.7,may,spring,2023
creek,downstream,brown bullhead,,1,NA,NA,106.1,may,spring,2023
creek,downstream,brown bullhead,,1,NA,NA,,may,spring,2023
creek,downstream,brown bullhead,,,NA,NA,133.8,may,spring,2023
creek,downstream,brown bullhead,,1,NA,NA,98.4,may,spring,2023
creek,downstream,brown bullhead,,1,NA,NA,72.9,may,spring,2023
creek,downstream,brown bullhead,,2,NA,NA,146.3,may,spring,2023
creek,downstream,brown bullhead,,2,NA,NA,157.2,may,spring,2023
creek,downstream,brown bullhead,,1,NA,NA,32.4,may,spring,2023
creek,downstream,brown bullhead,,bulk,,,288.8,october,fall,2024
creek,downstream,brown bullhead,,1,,199,101.9,october,fall,2024
creek,downstream,brown bullhead,,1,,95,10.3,october,fall,2024
creek,downstream,brown bullhead,,1,,94,10.4,october,fall,2024
creek,downstream,brown bullhead,,1,,172,63.5,october,fall,2024
creek,downstream,brown bullhead,,1,,115,16,october,fall,2024
creek,downstream,brown bullhead,,1,,165,54.5,october,fall,2024
creek,downstream,brown bullhead,,1,,161,52.7,october,fall,2024
creek,downstream,brown bullhead,,1,,135,28.4,october,fall,2024
creek,downstream,brown bullhead,,1,,154,44.2,october,fall,2024
creek,downstream,brown bullhead,,8,,167,320.3,october,fall,2023
creek,downstream,brown bullhead,,1,,142,34.3,october,fall,2023
creek,downstream,brown bullhead,,6,,118,183.2,october,fall,2023
creek,downstream,brown bullhead,,1,,90,9,october,fall,2023
creek,downstream,brown bullhead,,1,,104,13.3,october,fall,2023
creek,downstream,brown bullhead,,3,,165,161.2,october,fall,2023
creek,downstream,brown bullhead,,1,,92,9.4,october,fall,2023
creek,downstream,brown bullhead,,3,,152,105.9,october,fall,2023
creek,downstream,brown bullhead,,1,,88,8.7,october,fall,2023
creek,downstream,brown bullhead,,1,,190,83.6,october,fall,2023
creek,downstream,brown bullhead,,1,,198,95.9,october,fall,2023
